noun_corpus_id,noun_original_word,noun_template,matched_verb_root_id,matched_verb_class,matched_verb_corpus_ids,match_type
25,atawelakihski,agentive,atawelak|atawelak,i-a-i,51,reconstruction
32,atelv'i,completive,t|t,apl[imp3],59,reconstruction
40,atlehskv'i,incompletive,atl|atl,rev-e,87,reconstruction
56,akihsti,agentive,kihst|kihst,o,133,direct
61,akowhthvhti,agentive,kowhthvht|kowhthvht,cause,145,direct
74,anhawo,root,nhawo|nawo,become,1229,direct
74,anhawo,root,nhawo|nawo,become,1229,reconstruction
83,ayhvtakwalohski,agentive,yhvtakwal|,o,224,reconstruction
87,ayhvkhi,root,yhvkhi|yvkhi,i-a-i,232,direct
87,ayhvkhi,root,yhvkhi|yvkhi,i-a-i,232,reconstruction
96,atsilvhski,agentive,tsil|,vnh-vsk,250,reconstruction
107,akhsohskv'i,incompletive,khso|kahso,sk-s-hi-hihst,270,reconstruction
108,akhtha,root,khtha|katha,stative-h,273,direct
108,akhtha,root,khtha|katha,stative-h,273,reconstruction
109,akhthahi,agentive,khtha|katha,stative-h,273,reconstruction
121,ali,agentive,l|l,hih-hil,864,direct
121,ali,agentive,l|l,hvsk-han,811,direct
121,ali,agentive,l|l,i-a-i,830,direct
121,ali,agentive,l|l,rev-e,833,direct
121,ali,agentive,l|l,vsk[imp2],870,direct
121,ali,agentive,:l|:l,husk,809,direct
121,ali,root,burning,become,840,direct
121,ali,root,burning,become,840,reconstruction
127,aliyo,root,aliyo|aliyo,hih-lh,592,direct
127,aliyo,root,aliyo|aliyo,ih-vh[imperf2-inf2],593,direct
127,aliyo,root,aliyo|aliyo,rev-gi,591,direct
127,aliyo,root,aliyo|aliyo,hih-lh,592,reconstruction
127,aliyo,root,aliyo|aliyo,ih-vh[imperf2-inf2],593,reconstruction
127,aliyo,root,aliyo|aliyo,rev-gi,591,reconstruction
143,a'ni,agentive,'n|'n,cause[perf2],914,direct
143,a'ni,agentive,nh|'n,be-at,815,direct
143,a'ni,agentive,nh|'n,go,813,direct
144,anineli,agentive,nel|nel,stative,893,direct
144,anineli,agentive,nel|nel,stative,893,reconstruction
188,ayelv'i,completive,yhel|yel,i-a-i[perf2],220,direct
188,ayelv'i,completive,yhel|yel,oh-al[imp2],219,direct
188,ayelv'i,incompletive,yhel|yel,i-a-i[perf2],220,direct
188,ayelv'i,incompletive,yhel|yel,oh-al[imp2],219,direct
313,katu,root,:tu|:tu,hvsk-nh[inf2],784,direct
353,ka'ni,agentive,'n|'n,cause[perf2],914,direct
353,ka'ni,agentive,nh|'n,be-at,815,direct
353,ka'ni,agentive,nh|'n,go,813,direct
408,ko'i,agentive,o'|,stative,723,direct
408,ko'i,agentive,oh|o',go,1014,direct
409,ko'i,agentive,o'|,stative,723,direct
409,ko'i,agentive,oh|o',go,1014,direct
572,ohsi,agentive,ohs|ohs,apl[imp2],1040,direct
572,ohsi,agentive,ohs|ohs,cause[perf2],625,direct
643,utehohihsti,agentive,atehohihst|ate'ohihst,cause,61,direct
652,uto,root,ato|ato,sk-s-hi-hihst,777,reconstruction
652,uto,root,to|to,stative-k,772,direct
652,uto,root,to|to,stative-k,772,reconstruction
652,uto,root,ato|ato,sk-s-hi-hihst,777,direct
676,unhawo,root,nhawo|nawo,become,1229,direct
676,unhawo,root,nhawo|nawo,become,1229,reconstruction
682,uyhehi,agentive,yh|y,stative-eh,217,reconstruction
686,uyhvhstehski,agentive,yhvhst|,e-aka,1572,reconstruction
690,utsilv'i,completive,tsil|,vnh-vsk,250,direct
690,utsilv'i,incompletive,tsil|,vnh-vsk,250,direct
698,ukhtha,root,khtha|katha,stative-h,273,direct
698,ukhtha,root,khtha|katha,stative-h,273,reconstruction
704,ulihsi,agentive,alhs|alihs,rev-gi,336,direct
705,ulokili,agentive,lokil|,stative,1614,direct
705,ulokili,agentive,lokil|,stative,1614,reconstruction
716,unhtsi,agentive,nhts|nvts,be-at,904,direct
716,unhtsi,agentive,nhts|nvts,go,902,direct
716,unhtsi,agentive,nhts|nvts,stative-eh,903,direct
717,unihsi,agentive,hs|hs,oh-ol,383,direct
721,unvti,agentive,anht|anvt,apl-active-h,39,direct
721,unvti,agentive,anht|anvt,i-a-i,363,direct
721,unvti,agentive,anht|anvt,stative-h,1462;1646,direct
721,unvti,agentive,vt|vt,hvsk-han,1087,direct
737,uhsv'i,completive,hs|hs,oh-ol,383,direct
737,uhsv'i,completive,ahs|ahs,hih-hil,458,direct
737,uhsv'i,completive,ahs|ahs-back,go,432,direct
737,uhsv'i,incompletive,hs|hs,oh-ol,383,direct
737,uhsv'i,incompletive,ahs|ahs,hih-hil,458,direct
737,uhsv'i,incompletive,ahs|ahs-back,go,432,direct
791,yvki,agentive,yhvk|yvk,i-a-i,562,direct
