definition,class,root,success,ambiguous_forms,notes
it’s bouncing,eg-invs,,True,present;present_1sg,Ambiguity implies lossy rule reversal
it’s bouncing,eg-invs,:t,True,present;present_1sg,Ambiguity implies lossy rule reversal
it’s bouncing,eg-invs,at,True,present;present_1sg,Ambiguity implies lossy rule reversal
it’s bouncing,eg-invs,atat,True,present;present_1sg,Ambiguity implies lossy rule reversal
it’s bouncing,eg-invs,t,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is limping,eg-invs[perf2],,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is limping,eg-invs[perf2],:t,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is limping,eg-invs[perf2],at,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is limping,eg-invs[perf2],atat,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is limping,eg-invs[perf2],t,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,ih-ohd,:tinvt,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,ih-ohd,atatinvt,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,ih-ohd,atinvt,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,ih-ohd,invt,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,ih-ohd,tinvt,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,ih-ohd[perf3],:tinvt,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,ih-ohd[perf3],atatinvt,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,ih-ohd[perf3],atinvt,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,ih-ohd[perf3],invt,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,ih-ohd[perf3],tinvt,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,ih-ohd[pres2-perf3],:tinvtih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,ih-ohd[pres2-perf3],atatinvtih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,ih-ohd[pres2-perf3],atinvtih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,ih-ohd[pres2-perf3],invtih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,ih-ohd[pres2-perf3],tinvtih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,ih-ohd[pres2],:tinvtih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,ih-ohd[pres2],atatinvtih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,ih-ohd[pres2],atinvtih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,ih-ohd[pres2],invtih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is bouncing it,ih-ohd[pres2],tinvtih,False,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is putting on a belt,hih-lh,:tlo,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is putting on a belt,hih-lh,atatlo,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is putting on a belt,hih-lh,atlo,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is putting on a belt,hih-lh,tlo,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is praying,ih-ohd,:tolihst,True,present;present_1sg,Ambiguity implies lossy rule reversal
he/she is praying,ih-ohd,atatolihst,True,present;present_1sg,Ambiguity implies lossy rule reversal
