Id,Deck,SequenceOrder,EntryNo,WordIndex,TotalWords,English,FrontSyllabary,FrontPhonetics,TargetWordSyllabary,TargetWordPhonetics,BackSyllabary,BackPhonetics,Audio,Tags
cloze_1029.1_s1_w3,Cherokee Cloze Sentences,1,1029.1,3,4,When he digs holes in a rocky place‚ he uses a crowbar.,ᏅᏲᎯ ᏱᏓᏍᎪᏍᎦ <span class='cloze-blank'>______</span> ᎬᏗᏍᎪᎢ.,nvyohi yidasgosga <span class='cloze-blank'>______</span> kdisgo’i,ᎨᏘᎶᏍᏗ,getilosdi,ᏅᏲᎯ ᏱᏓᏍᎪᏍᎦ <span class='cloze-target'>ᎨᏘᎶᏍᏗ</span> ᎬᏗᏍᎪᎢ.,nvyohi yidasgosga <span class='cloze-target'>getilosdi</span> kdisgo’i,[sound:Sentence_for_entry_1029.m4a],cloze sentence entry_1029
cloze_1578.1_s1_w3,Cherokee Cloze Sentences,2,1578.1,3,6,It sure got warm today‚ didn’t it?,ᎤᏙᎯᏳ ᎤᎦᎾᏩ <span class='cloze-blank'>______</span> ᎪᎯ ᎢᎦ‚ ᏙᎧ?,udohiyu uganawi <span class='cloze-blank'>______</span> kohi iga doka,ᏂᎦᎵᏍᏓ,nulstanv,ᎤᏙᎯᏳ ᎤᎦᎾᏩ <span class='cloze-target'>ᏂᎦᎵᏍᏓ</span> ᎪᎯ ᎢᎦ‚ ᏙᎧ?,udohiyu uganawi <span class='cloze-target'>nulstanv</span> kohi iga doka,[sound:Sentence_for_entry_1578.m4a],cloze sentence entry_1578
cloze_88.1_s1_w1,Cherokee Cloze Sentences,3,88.1,1,4,I see smoke from burning rubber.,<span class='cloze-blank'>______</span> ᎠᎪᎲᏍᎬ ᏚᎦᏒᏍᏛ ᏥᎪᏩᏘᎭ.,<span class='cloze-blank'>______</span> agohvsgv duksvsdv jigowahtiha,ᎠᏜ,adla,<span class='cloze-target'>ᎠᏜ</span> ᎠᎪᎲᏍᎬ ᏚᎦᏒᏍᏛ ᏥᎪᏩᏘᎭ.,<span class='cloze-target'>adla</span> agohvsgv duksvsdv jigowahtiha,[sound:Sentence_for_entry_0088.m4a],cloze sentence entry_88
cloze_674.1_s1_w6,Cherokee Cloze Sentences,4,674.1,6,6,How many churches are there in the city of Tahlequah?,ᎯᎳ ᎢᎦ ᏕᎪᏢ ᏧᏂᎳᏫᏍᏗ ᏓᎵᏆ <span class='cloze-blank'>______</span>?,hila iga degohlv junilawisdi daligwa <span class='cloze-blank'>______</span>,ᎦᏚᎲᎢ,gaduhv’i,ᎯᎳ ᎢᎦ ᏕᎪᏢ ᏧᏂᎳᏫᏍᏗ ᏓᎵᏆ <span class='cloze-target'>ᎦᏚᎲᎢ</span>?,hila iga degohlv junilawisdi daligwa <span class='cloze-target'>gaduhv’i</span>,[sound:Sentence_for_entry_0674.m4a],cloze sentence entry_674
cloze_1130.1_s1_w3,Cherokee Cloze Sentences,5,1130.1,3,3,Don’t be doing that.,ᏞᏍᏗ ᎥᏍᎩ <span class='cloze-blank'>______</span>.,hlesdi vsgi <span class='cloze-blank'>______</span>,ᏱᎿᏛᏁᎮᏍᏗ,yihnadvnehesdi,ᏞᏍᏗ ᎥᏍᎩ <span class='cloze-target'>ᏱᎿᏛᏁᎮᏍᏗ</span>.,hlesdi vsgi <span class='cloze-target'>yihnadvnehesdi</span>,[sound:Sentence_for_entry_1130.m4a],cloze sentence entry_1130
cloze_1827.1_s1_w1,Cherokee Cloze Sentences,6,1827.1,1,5,This man owns a lot of cows.,<span class='cloze-blank'>______</span> ᎠᏍᎦᏯ ᏥᏈᏍᏗ ᏩᎦ ᏚᎾᏝᎠ.,<span class='cloze-blank'>______</span> asgaya tsgwisdi wahga dunahla’a,ᎯᎠ,hi’a,<span class='cloze-target'>ᎯᎠ</span> ᎠᏍᎦᏯ ᏥᏈᏍᏗ ᏩᎦ ᏚᎾᏝᎠ.,<span class='cloze-target'>hi’a</span> asgaya tsgwisdi wahga dunahla’a,[sound:Sentence_for_entry_1827.m4a],cloze sentence entry_1827
cloze_1382.1_s1_w8,Cherokee Cloze Sentences,7,1382.1,8,9,The sun is bigger than the moon.,ᎢᎦ ᎡᎯ ᏅᏓ ᎤᏔᎾ ᏏᏅ ᏒᏃᏱ ᎡᎯ <span class='cloze-blank'>______</span> ᎨᏒᎢ.,iga ehi nvda utana sihnv svnoyi ehi <span class='cloze-blank'>______</span> gesv’i,ᏅᏓ,nvda,ᎢᎦ ᎡᎯ ᏅᏓ ᎤᏔᎾ ᏏᏅ ᏒᏃᏱ ᎡᎯ <span class='cloze-target'>ᏅᏓ</span> ᎨᏒᎢ.,iga ehi nvda utana sihnv svnoyi ehi <span class='cloze-target'>nvda</span> gesv’i,[sound:Sentence_for_entry_1382.m4a],cloze sentence entry_1382
cloze_243.1_s1_w3,Cherokee Cloze Sentences,8,243.1,3,4,Is that man a Choctaw or a Cherokee?,ᎠᏣᏓᏍ Ꮎ <span class='cloze-blank'>______</span> ᎠᏣᎳᎩᎨ?,ajahdas na <span class='cloze-blank'>______</span> ajalagike,ᎠᏍᎦᏯ‚,asgaya,ᎠᏣᏓᏍ Ꮎ <span class='cloze-target'>ᎠᏍᎦᏯ‚</span> ᎠᏣᎳᎩᎨ?,ajahdas na <span class='cloze-target'>asgaya</span> ajalagike,[sound:Sentence_for_entry_0243.m4a],cloze sentence entry_243
cloze_1644.1_s1_w2,Cherokee Cloze Sentences,9,1644.1,2,5,A drunk was arrested among a lot of people.,ᎤᏂᏣᏘ <span class='cloze-blank'>______</span> ᏴᏫ ᎠᏥᏂᏴᎲ ᎤᏴᏍᏕᏓ.,unijati <span class='cloze-blank'>______</span> yvwi aji’niyvhv uhyvsdeda,ᏄᎾᏛᏅ,nunadvhnv,ᎤᏂᏣᏘ <span class='cloze-target'>ᏄᎾᏛᏅ</span> ᏴᏫ ᎠᏥᏂᏴᎲ ᎤᏴᏍᏕᏓ.,unijati <span class='cloze-target'>nunadvhnv</span> yvwi aji’niyvhv uhyvsdeda,[sound:Sentence_for_entry_1644.m4a],cloze sentence entry_1644
cloze_1537.1_s1_w6,Cherokee Cloze Sentences,10,1537.1,6,6,Tomorrow throw the trash away.,ᏑᎾᎴ ᎤᏟ ᏫᏣᏕᏒ Ꮎ ᎤᏲ <span class='cloze-blank'>______</span>.,sunale udli wijadesv na uyo <span class='cloze-blank'>______</span>,ᎦᎵᏛᎢ,galhdv’i,ᏑᎾᎴ ᎤᏟ ᏫᏣᏕᏒ Ꮎ ᎤᏲ <span class='cloze-target'>ᎦᎵᏛᎢ</span>.,sunale udli wijadesv na uyo <span class='cloze-target'>galhdv’i</span>,[sound:Sentence_for_entry_1537.m4a],cloze sentence entry_1537
