definition,class,root,success,ambiguous_forms,notes
he's taking a drink (alcoholic beverage),Ia,athuki,True,present;imperfective,Ambiguity implies lossy rule reversal
it's hatching,Ia,atsai,True,present;imperfective,Ambiguity implies lossy rule reversal
he's opening it,Ia,stui,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's taking off his socks,Ia,aliyoki,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he's chewing it,Ib,kisto,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
1. he's pondering it  2. he's considering,Ib,atanhthehilo,True,present;imperfective,Ambiguity implies lossy rule reversal
he's taking a step,Ic*,alaskv,True,present;imperfective,Ambiguity implies lossy rule reversal
he's replying,Ic*,awohiliyv,True,present;imperfective,Ambiguity implies lossy rule reversal
"he, it's changing",Ic*,atanetliyv,True,present;imperfective,Ambiguity implies lossy rule reversal
he's changing it,Ic*,netliyv,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
"he, it's moving from one place to another",Ic*,atanv,True,present;imperfective,Ambiguity implies lossy rule reversal
"he's lifting him, raising him, it",Vc*,salat,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
"he, it's ascending, raising",Vc*,alsalat,True,present;imperfective,Ambiguity implies lossy rule reversal
he's sticking his head out,Vc*,alskwalut,True,present;imperfective,Ambiguity implies lossy rule reversal
1. he's leaving  2. it's starting,Ia,ahniki,True,present;imperfective,Ambiguity implies lossy rule reversal
he's dipping liquid,Ia,khuki,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's plowing it,Vc*,taluk,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's putting his gloves on,Vc*,aliyesul,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
he's putting his pants on,Vc*,asul,True,present;imperfective,Ambiguity implies lossy rule reversal
he's putting on a cap,Vc*,alstul,True,present;imperfective,Ambiguity implies lossy rule reversal
1. he's picking it up  2. he's getting it,Ia,ki,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's waving his hand,Ia,asolvtaki,True,present;imperfective,Ambiguity implies lossy rule reversal
he's having a nightmare,Ia,ahliki,True,present;imperfective,Ambiguity implies lossy rule reversal
he's snoring,Ia,khwalaki,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
1. he's getting some liquid  2. he's picking up some liquid,Ia,neki,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's taking his hat off,Ia,alskwethuhki,True,present;imperfective,Ambiguity implies lossy rule reversal
he's hoeing it,Vc*,lok,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
"he hears him, it",Vc*,athvk,True,present;imperfective,Ambiguity implies lossy rule reversal
he's dancing,Ia,alski,True,present;imperfective,Ambiguity implies lossy rule reversal
it's exploding,Ia,athaski,True,present;imperfective,Ambiguity implies lossy rule reversal
he's stealing it,Ia,noski,True,present;imperfective;perfective;infinitive,Ambiguity implies lossy rule reversal
he's taking his ring off,Ia,aliyesusthki,True,present;imperfective,Ambiguity implies lossy rule reversal
"he's shelling, picking out (peas, nut meats, etc.)",Ia,vthohi,True,present;imperfective;perfective;imperative;infinitive,Ambiguity implies lossy rule reversal
